"id","delivery_man_id","collected_cash","created_at","updated_at","total_earning","total_withdrawn","pending_withdraw"
"9","9","0.00","2025-07-01 11:25:31","2025-07-20 22:02:00","0.00","0.00","0.00"
"10","7","0.00","2025-07-01 18:03:23","2025-09-11 20:13:19","0.00","0.00","0.00"
"11","6","0.00","2025-07-03 20:05:01","2026-03-13 13:35:40","125.00","125.00","0.00"
"12","8","0.00","2025-07-05 08:08:15","2025-08-23 09:17:55","280.53","230.00","0.00"
"13","19","0.00","2025-07-11 19:46:59","2025-07-26 22:13:22","0.00","0.00","0.00"
"14","20","0.00","2025-07-11 21:10:18","2025-09-29 11:42:58","150.00","150.00","0.00"
"15","27","301.00","2025-07-15 12:07:59","2025-08-16 22:02:07","0.00","0.00","0.00"
"16","24","0.00","2025-07-17 11:10:55","2025-08-20 12:50:04","5902.34","5902.00","0.00"
"17","30","0.00","2025-07-19 17:23:37","2025-07-26 22:03:51","210.00","135.00","0.00"
"18","29","0.00","2025-07-22 12:28:55","2025-09-11 19:25:35","13227.70","11185.00","0.00"
"19","33","0.00","2025-07-25 13:41:41","2025-09-02 21:44:13","8166.53","8157.00","0.00"
"20","14","0.00","2025-07-27 16:38:02","2025-12-16 15:41:02","68681.74","68681.00","0.00"
"21","35","0.00","2025-08-02 15:53:47","2025-08-03 17:03:11","25.00","25.00","0.00"
"22","37","0.00","2025-08-05 11:22:40","2025-08-18 12:43:07","1076.34","1076.00","0.00"
"23","42","1659.85","2025-08-18 10:55:05","2025-11-16 17:43:49","44506.77","42400.00","0.00"
"24","54","0.00","2025-09-08 14:10:44","2025-10-10 21:49:40","0.00","0.00","0.00"
"25","56","0.00","2025-09-10 15:59:05","2025-10-31 11:44:09","2816.71","2816.00","0.00"
"26","62","0.00","2025-09-17 11:36:03","2025-09-29 12:50:15","5365.06","5365.00","0.00"
"27","63","0.00","2025-09-19 17:42:54","2025-12-16 15:03:06","250.00","250.00","0.00"
"28","58","0.00","2025-09-19 21:20:56","2025-09-19 21:21:35","25.00","25.00","0.00"
"29","67","0.00","2025-10-01 18:23:00","2025-10-11 13:05:39","300.00","300.00","0.00"
"30","70","0.00","2025-10-15 12:10:59","2025-11-24 17:31:14","2320.52","2320.00","0.00"
"31","71","1266.00","2025-10-17 14:32:19","2025-10-17 20:18:54","0.00","0.00","0.00"
"32","51","0.00","2025-10-18 06:22:08","2025-10-18 07:33:04","50.00","0.00","0.00"
"33","73","4638.15","2025-10-27 15:15:02","2026-05-19 16:38:42","114770.99","111291.00","0.00"
"34","74","0.00","2025-10-29 17:52:18","2026-02-19 20:28:56","2557.80","2557.00","0.00"
"35","78","0.00","2025-11-16 13:35:14","2025-12-24 12:27:29","7620.05","7163.00","0.00"
"36","76","2957.87","2025-11-22 18:38:06","2026-05-19 13:43:37","100483.49","99969.01","0.00"
"37","81","0.00","2025-11-25 12:56:09","2025-12-27 21:16:30","1246.49","1231.00","0.00"
"38","83","0.00","2025-12-07 18:44:30","2025-12-16 14:37:10","378.14","378.00","0.00"
"39","85","0.00","2025-12-09 21:27:40","2025-12-16 14:39:25","100.56","100.00","0.00"
"40","96","0.00","2026-01-01 14:44:57","2026-01-03 13:48:44","255.62","255.00","0.00"
"41","98","0.00","2026-01-14 13:17:38","2026-01-24 18:02:34","0.00","0.00","0.00"
"42","103","0.00","2026-03-01 15:46:10","2026-05-02 13:09:58","1153.53","1150.00","0.00"
"43","112","1178.93","2026-05-13 14:26:05","2026-05-19 16:26:12","2081.79","0.00","0.00"
