"id","name","phone","email","logo","latitude","longitude","address","footer_text","minimum_order","comission","schedule_order","status","vendor_id","created_at","updated_at","free_delivery","rating","cover_photo","delivery","take_away","item_section","tax","zone_id","reviews_section","active","off_day","gst","self_delivery_system","pos_system","minimum_shipping_charge","delivery_time","veg","non_veg","order_count","total_order","module_id","order_place_to_schedule_interval","featured","per_km_shipping_charge","prescription_order","slug","maximum_shipping_charge","cutlery","meta_title","meta_description","meta_image","announcement","announcement_message","store_business_model","package_id","pickup_zone_id","comment","tin","tin_expire_date","tin_certificate_image"
"1","Grocery Store","+101511111111","grocery@gmail.com","2024-07-11-668faf10218c8.png","23.81695886557418","90.36934144046135","House, road",NULL,"0.00",NULL,"0","1","1","2023-08-15 23:45:01","2026-01-05 17:30:24","0",NULL,"2024-07-11-668faf1021eba.png","1","1","1","5.00","1","1","1"," ",NULL,"0","0","0.00","30-40 min","1","1","2","6","1","0","1","0.000","0","demo-store",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,NULL,NULL,NULL
"4","Vegetable Mart","+919898989878","Vegetable@gmail.com","2024-07-11-668fe93783621.png","30.12965394051046","76.18802612600452","Vegetable Mart",NULL,"0.00",NULL,"0","1","4","2024-07-11 19:46:23","2026-01-05 17:30:24","0",NULL,"2024-07-11-668fe93783d07.png","1","1","1","12.00","3","1","1"," ",NULL,"0","0","0.00","23-25 min","1","1","0","1","1","0","1","0.000","0","vegetable-mart",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,NULL,NULL,NULL
"5","Medi Care","8789890989","medicare@gmail.com","2024-10-11-67082d52a7498.png","28.380338986926606","77.40591213931837","Medi Care Address",NULL,"0.00",NULL,"0","1","5","2024-10-11 01:08:58","2026-01-05 17:30:24","0",NULL,"2024-10-11-67082d52a7e82.png","1","1","1","10.00","1","1","1"," ",NULL,"0","0","0.00","30-40 min","1","1","0","0","3","0","1","0.000","0","medi-care",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,NULL,NULL,NULL
"6","Alpha Medicine Store","9898786790","alpha@gmail.com","2024-10-11-67082ddd4500d.png","19.915772511822983","78.84574670402475","Alpha Medicine Store Address",NULL,"0.00",NULL,"0","1","6","2024-10-11 01:11:17","2026-01-05 17:30:24","0",NULL,"2024-10-11-67082ddd458c9.png","1","1","1","10.00","1","1","1"," ",NULL,"0","0","0.00","40-50 min","1","1","0","0","3","0","0","0.000","0","alpha-medicine-store",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,NULL,NULL,NULL
"7","Shoes Fashion","+918978987867","shoestore@gmail.com","2024-10-11-6708326265e12.png","25.387736795745298","77.2679277355094","Shoes Fashion Address",NULL,"0.00",NULL,"0","1","7","2024-10-11 01:30:34","2026-01-05 17:30:24","0",NULL,"2024-10-11-6708326266902.png","1","1","1","12.00","1","1","1"," ",NULL,"0","0","0.00","40-50 min","1","1","0","0","4","0","1","0.000","0","shoes-fashion",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,NULL,NULL,NULL
"8","Fashion Store","+918989898976","fashion@gmail.com","2024-10-11-670832e516c18.png","30.0683574","75.9861009","House: 00, Road: 00, City-000, Country",NULL,"0.00",NULL,"0","1","8","2024-10-11 01:32:45","2026-01-09 12:19:20","0",NULL,"2024-10-11-670832e51762d.png","1","1","1","9.98","5","1","1"," ",NULL,"0","0","0.00","50-60 min","1","1","0","0","4","0","1","0.000","0","fashion-store",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,"112222","2030-10-22",NULL
"12","5 Tara Food Point","+919056107109","5tarafoodpoint@gmail.com","2025-06-05-6841bd6c95dd3.png","30.019122146371778","76.10410514320743","Main Bazar Ghagga",NULL,"1.00","10.00","0","1","12","2025-05-26 22:41:08","2026-05-16 19:59:24","0","{""1"":4,""2"":1,""3"":2,""4"":6,""5"":56}","2025-11-04-6909efd2eccda.png","1","0","1","0.00","4","1","1"," ","{""status"":null,""code"":null}","0","1","0.00","25-30 min","1","1","553","711","2",NULL,"1","0.000","0","5-tara-food-point",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"13","Pizza Blast","+919501410727","blastpizza38@gmail.com","2025-05-31-683adc7ad6e26.png","30.07481776537046","75.9958307415624","Mata sodha markit Dirba",NULL,"70.00","15.00","0","1","13","2025-05-31 16:09:54","2026-01-05 17:30:24","0",NULL,"2025-12-23-694a5c026a366.png","1","1","1","0.00","5","1","1"," ",NULL,"0","0","0.00","25-35 min","1","0","11","15","2",NULL,"0","0.000","0","pizza-blast",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-13",NULL
"14","Pizza 13 Food Court","+917997701313","Navithind833@gmail.com","2025-06-07-68440a0a3fbec.png","29.949425366249507","76.05277580934283","Garg Plaza",NULL,"50.00","21.74","0","1","14","2025-06-02 15:13:06","2026-05-18 19:18:00","0","{""1"":12,""2"":6,""3"":8,""4"":24,""5"":45}","2025-10-10-68e8b64fcdda1.png","1","0","1","0.00","2","1","1"," ","{""status"":""0"",""code"":null}","0","0","0.00","35-40 min","1","0","1266","1408","2","0","1","0.000","0","pizza-13-food-count","0.000","1",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"15","Busyday Fast Food","+919872958717","Jsvpatran@gmail.com","2025-06-05-68417291c6f91.png","29.9493375","76.052264","Garg Plaza",NULL,"50.00","15.00","0","1","15","2025-06-03 11:11:15","2026-05-19 15:16:36","0","{""1"":5,""2"":1,""3"":2,""4"":5,""5"":40}","2025-10-11-68e9d7cfb349d.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","20-25 min","1","0","1058","1182","2",NULL,"1","0.000","0","busyday-fast-food",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"16","Cali Hawkers","+919888085996","gurpreet.jammu6@hotmail.com","2025-06-03-683eabe79fe9b.png","29.953194048944493","76.05413288215811","Narwana Road",NULL,"50.00","10.00","0","1","16","2025-06-03 13:31:43","2026-05-19 15:35:17","0","{""1"":11,""2"":3,""3"":6,""4"":7,""5"":39}","2025-10-11-68e9bf478d207.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","1","1091","1217","2",NULL,"1","0.000","0","cali-hawkers",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"17","The Posh Cafe","8528585513","vs928899@gmail.com","2025-06-07-68439466a0d9b.png","29.952043531907144","76.04910975000014","Goyal Wali Gali",NULL,"50.00","10.00","0","1","17","2025-06-07 06:49:16","2026-05-19 17:44:03","0","{""1"":7,""2"":2,""3"":3,""4"":7,""5"":50}","2025-10-10-68e8dbdb52d7c.png","1","0","1","0.00","2","1","1"," ","{""status"":""0"",""code"":null}","0","0","0.00","35-40 min","1","0","819","930","2",NULL,"1","0.000","0","the-posh-cafe","0.000","0","The posh Cafe","Fuel your cravings, one bite at a time!"" 😋",NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-10",NULL
"18","Ashwani Bakers Restaurant","+919149207086","ashwanibaker1@gmail.com","2025-06-10-68485151376dd.png","29.951638515130302","76.05307555963482","Jakhal Road",NULL,"50.00","21.74","0","1","18","2025-06-10 21:07:53","2026-05-19 16:19:56","0","{""1"":5,""2"":4,""3"":10,""4"":8,""5"":24}","2026-01-10-6962259b26c6e.png","1","0","1","0.00","2","1","1"," ","{""status"":null,""code"":null}","0","0","0.00","35-40 min","1","0","684","773","2",NULL,"1","0.000","0","ashwani-bakers-restaurant",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2028-12-12","2026-01-10-696216116a85f.png"
"19","Waffle & Subway House 🍔","+919530968938","Navpreetsingh578@gmail.com","2025-06-10-684856e9d2444.png","29.953217118879206","76.05410998977565","Sharma Market",NULL,"50.00","10.00","0","1","19","2025-06-10 21:31:45","2026-05-18 21:16:21","0","{""1"":11,""2"":5,""3"":11,""4"":13,""5"":86}","2025-10-10-68e8b338e23b5.png","1","0","1","0.00","2","1","0"," ",NULL,"0","0","0.00","35-40 min","1","0","1805","1976","2",NULL,"1","0.000","0","waffle-subway-house",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"RedGo 786","2025-10-31","2025-10-06-68e38358c204c.png"
"20","Alley's Cafe","+916283494847","sd3902395@gmail.com","2025-06-12-684a8f999d504.png","29.94445007014559","76.06128928853948","Keshav Market",NULL,"50.00","10.00","0","1","20","2025-06-10 21:41:18","2026-05-19 15:18:59","0","{""1"":6,""2"":3,""3"":2,""4"":4,""5"":19}","2025-10-11-68e9c6b068232.png","1","0","1","0.00","2","1","1"," ","{""status"":""0"",""code"":null}","0","0","0.00","35-40 min","1","0","339","410","2","0","1","0.000","0","alleys-cafe","0.000","0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"21","Eat & Chill Cafe","+919915289198","veerdevinder123@gmail.com","2025-06-12-684abb4d76b76.png","29.958800874272917","76.05390178738939","Near Taxi Stand",NULL,"50.00","21.50","0","1","21","2025-06-12 17:04:37","2026-05-19 10:27:01","0","{""1"":1,""2"":0,""3"":0,""4"":0,""5"":3}","2025-10-11-68e9de1748863.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","0","38","48","2",NULL,"1","0.000","0","eat-chill-cafe",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-30",NULL
"22","Chilli Chatkara","+919041049903","kumarjatindergarg@gmail.com","2025-06-13-684bcaceef30b.png","29.95208867005858","76.05306623067094","Goyal Wali Gali",NULL,"50.00","0.00","0","1","22","2025-06-13 12:23:03","2026-05-19 14:44:13","0","{""1"":34,""2"":11,""3"":18,""4"":18,""5"":89}","2025-10-10-68e8b43ae6d61.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","0","1649","1751","2",NULL,"1","0.000","0","chilli-chatkara",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"23","Chai Sutta Bar","9700023808","Chaisuttabarpatran@gmail.com","2025-06-13-684c27806abf8.png","29.953094160679218","76.05427742156392","Narwana Road",NULL,"0.00","10.00","0","1","23","2025-06-13 18:58:32","2026-05-18 15:07:45","0","{""1"":1,""2"":0,""3"":3,""4"":5,""5"":10}","2025-10-11-68e9cb3c98355.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","0","261","298","2",NULL,"1","0.000","0","chai-sutta-bar",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"26","Chill Out Restaurant Corner","+917087818210","Tarandhami60@gmail.com","2025-06-23-6858b2a67596e.png","29.94314402266004","76.06453389617849","New Bus Stand",NULL,"50.00","23.01","0","1","26","2025-06-23 06:43:06","2026-05-18 20:17:01","0","{""1"":3,""2"":0,""3"":1,""4"":0,""5"":2}","2025-10-11-68e9ce83eee16.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","1","166","206","2",NULL,"1","0.000","0","chill-out-chicken-corner",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"27","Bella Ciao Cafe & Restaurant","+917889259820","Officialgarg3438@gmail.com","2025-06-24-685a3afbbe7e3.png","29.94407370902227","76.0630801693423","New Bus Stand",NULL,"30.00","23.00","0","1","27","2025-06-24 11:13:23","2026-05-18 20:39:43","0","{""1"":2,""2"":1,""3"":3,""4"":1,""5"":7}","2025-10-11-68e9dccf150b4.png","1","1","1","0.00","2","1","1"," ","{""status"":null,""code"":null}","0","0","0.00","35-40 min","1","0","95","125","2",NULL,"1","0.000","0","bella-ciao-cafe-restaurant","0.000","1",NULL,NULL,NULL,"0",NULL,"commission",NULL,NULL,NULL,"123","2025-10-31",NULL
"28","Sardar Ji Amritsar Kulcha & Cafe","+919779799154","sjorasingh001@gmail.com","2025-06-28-685fe4f6db456.png","29.95961787043663","76.05450952681154","krishna Market",NULL,"50.00","10.00","0","1","28","2025-06-28 18:03:53","2026-05-19 16:26:13","0","{""1"":5,""2"":2,""3"":2,""4"":8,""5"":35}","2026-02-21-69994b3e9fe10.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","0","650","786","2",NULL,"1","0.000","0","sardar-ji-amritsar-kulcha",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"30","Khalsa Chaap","+917814596736","Cheemaravinder36@gmail.com","2025-07-01-6863ec1e8425f.png","29.951221314124243","76.0530408897085","Ghada Stand",NULL,"50.00","15.00","0","1","30","2025-07-01 19:39:34","2026-05-19 17:16:27","0","{""1"":13,""2"":3,""3"":4,""4"":5,""5"":22}","2025-10-11-68e9c0c7e3b49.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","25-30 min","1","0","786","867","2",NULL,"1","0.000","0","khalsa-chaap",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"32","Melvon Cafe","+916283916938","hd0829868@gmail.com","2025-07-02-686506088d5d8.png","29.953711529315328","76.0536114897583","Sharma Market",NULL,"50.00","22.00","0","1","32","2025-07-02 15:42:24","2026-05-19 17:09:17","0","{""1"":7,""2"":1,""3"":4,""4"":1,""5"":16}","2025-10-11-68e9c8f69c7a6.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","35-40 min","1","0","402","486","2",NULL,"1","0.000","0","melvon-cafe",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"33","Kaler Food Point","+917973946232","lovelykaler99@gmail.com","2025-07-05-6868c9fbdf10a.png","29.94470655048104","76.06234056833343","Keshav Market",NULL,"50.00","18.10","0","1","33","2025-07-04 18:36:44","2026-05-19 14:46:40","0","{""1"":1,""2"":2,""3"":1,""4"":3,""5"":24}","2025-10-11-68e9dba21433e.png","1","0","1","0.00","2","1","1"," ",NULL,"0","0","0.00","15-30 min","1","0","335","396","2",NULL,"1","0.000","0","kaler-food-point",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
"35","MOM'S KITCHEN","+916280932378","ritikasingla47@gmail.com","2025-07-06-68696f77ec605.png","29.95250428557142","76.05093598365784","Hayer Villa, Laxmi Naryan Gali ,WARD NO. 12, GOYAL STREET, Patran, Punjab 147105, India",NULL,"0.00",NULL,"0","0","35","2025-07-06 00:01:19","2026-01-05 17:30:24","0",NULL,"2025-07-06-68696f77ee29d.png","1","1","1","300.00","2","1","1"," ",NULL,"0","0","0.00","15-25 minute","1","1","0","0","2","0","0","0.000","0","moms-kitchen",NULL,"0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,NULL,NULL,NULL
"36","Fruit Fiesta","+917364047786","Mannugarg921@gmail.com","2025-07-06-686a2a78030cd.png","29.95044659410818","76.05280537455232","Ghada Stand",NULL,"50.00","25.00","0","1","36","2025-07-06 13:19:12","2026-05-12 16:54:28","0","{""1"":0,""2"":0,""3"":0,""4"":0,""5"":6}","2025-10-11-68e9cd9072c4a.png","1","1","1","0.00","2","1","1"," ","{""status"":""0"",""code"":null}","0","0","0.00","15-30 min","1","0","128","149","2","0","1","0.000","0","fruit-fiesta","0.000","0",NULL,NULL,NULL,"0",NULL,"commission",NULL,"[]",NULL,"12345","2025-10-31",NULL
