"id","vendor_id","total_earning","total_withdrawn","pending_withdraw","collected_cash","created_at","updated_at"
"25","18","197799.64","188874.00","0.00","0.00","2025-06-30 19:16:34","2026-07-12 20:54:31"
"26","25","14687.49","14687.00","0.00","0.00","2025-06-30 20:21:08","2025-08-22 21:46:38"
"27","12","127240.18","127197.00","0.00","0.00","2025-07-01 08:21:10","2026-03-09 13:23:32"
"28","26","53333.06","47150.00","0.00","0.00","2025-07-01 08:26:57","2026-05-24 21:02:28"
"29","15","206511.75","201200.00","0.00","0.00","2025-07-01 11:06:09","2026-07-12 12:46:00"
"30","14","363553.98","361050.00","0.00","0.00","2025-07-01 17:00:22","2026-07-12 20:49:41"
"31","22","265423.74","262940.00","0.00","0.00","2025-07-01 19:49:13","2026-07-12 16:13:24"
"32","29","205.92","0.00","0.00","0.00","2025-07-01 19:59:05","2025-07-01 19:59:05"
"33","19","371730.52","368038.00","0.00","0.00","2025-07-01 21:21:00","2026-07-12 20:10:13"
"34","30","120041.92","117530.00","0.00","0.00","2025-07-01 21:53:09","2026-07-12 21:02:21"
"35","31","737.10","737.00","0.00","0.00","2025-07-02 13:13:52","2025-08-25 15:17:01"
"36","27","17647.41","16146.00","0.00","0.00","2025-07-02 14:04:40","2026-07-09 16:38:57"
"37","24","69281.63","69220.00","0.00","0.00","2025-07-02 14:09:13","2026-03-14 18:55:39"
"38","17","217818.24","214800.00","0.00","0.00","2025-07-02 14:32:22","2026-07-12 15:28:28"
"39","28","98064.75","95131.75","0.00","0.00","2025-07-02 15:57:52","2026-07-12 16:35:28"
"40","20","95155.20","94406.00","0.00","0.00","2025-07-02 19:41:53","2026-07-07 18:17:17"
"41","16","237024.66","206500.00","30500.00","0.00","2025-07-02 21:17:08","2026-07-12 22:21:54"
"42","32","91764.94","90859.00","0.00","0.00","2025-07-03 11:26:52","2026-07-07 12:00:13"
"43","23","56439.24","53200.00","0.00","0.00","2025-07-03 17:29:27","2026-07-12 19:31:28"
"44","33","36262.69","35487.00","0.00","0.00","2025-07-05 09:50:04","2026-07-12 14:26:49"
"45","34","54595.74","54594.00","0.00","0.00","2025-07-05 12:44:05","2026-02-03 12:52:52"
"46","21","9146.24","8240.00","0.00","0.00","2025-07-05 12:50:52","2026-07-11 14:11:36"
"47","11","626.85","0.00","0.00","0.00","2025-07-05 16:03:08","2025-10-07 19:04:06"
"48","13","1316.82","0.00","0.00","0.00","2025-07-05 18:17:58","2026-01-01 19:49:54"
"49","35","0.00","0.00","0.00","0.00","2025-07-06 05:29:08","2025-07-06 05:29:08"
"50","36","23386.50","18337.00","0.00","0.00","2025-07-07 15:31:09","2026-07-12 16:46:22"
"51","37","0.00","0.00","0.00","0.00","2025-07-08 15:59:38","2025-07-08 15:59:38"
"52","38","115845.26","114052.00","0.00","0.00","2025-07-09 14:50:25","2026-07-12 15:26:05"
"53","39","21418.68","20850.00","0.00","0.00","2025-07-10 19:15:48","2026-05-22 22:36:43"
"54","41","2691.92","2500.00","0.00","0.00","2025-07-13 16:33:01","2026-07-06 15:57:27"
"55","40","0.00","0.00","0.00","0.00","2025-07-13 21:34:26","2025-07-13 21:34:26"
"56","42","29779.63","27600.00","0.00","0.00","2025-07-14 06:21:13","2026-03-03 20:23:16"
"57","43","2337.36","2337.00","0.00","0.00","2025-07-14 18:46:30","2025-09-05 19:05:46"
"58","44","25229.64","25229.64","0.00","0.00","2025-07-18 13:42:16","2026-02-12 16:54:39"
"59","45","180.00","180.00","0.00","0.00","2025-07-19 12:21:52","2025-08-25 14:44:05"
"60","46","139483.78","119960.00","0.00","0.00","2025-07-19 12:32:45","2026-07-12 19:48:35"
"61","47","0.00","0.00","0.00","0.00","2025-07-21 15:54:07","2025-07-21 15:54:07"
"62","48","7046.09","2977.00","0.00","0.00","2025-07-22 16:21:23","2026-07-02 15:59:22"
"63","50","0.00","0.00","0.00","0.00","2025-07-22 21:00:55","2025-07-22 21:00:55"
"64","49","0.00","0.00","0.00","0.00","2025-07-23 05:27:13","2025-07-23 05:27:13"
"65","52","0.00","0.00","0.00","0.00","2025-07-24 17:44:03","2025-07-24 17:44:03"
"66","51","0.00","0.00","0.00","0.00","2025-07-24 17:44:17","2025-07-24 17:44:17"
"67","53","0.00","0.00","0.00","0.00","2025-07-26 09:43:39","2025-07-26 09:43:39"
"68","54","95045.79","95044.86","0.00","0.00","2025-07-26 13:52:53","2026-02-12 16:55:40"
"69","56","15370.71","10900.00","0.00","0.00","2025-07-28 05:53:51","2026-07-11 21:51:47"
"70","55","38230.00","30500.00","0.00","0.00","2025-07-29 18:06:02","2026-07-12 14:32:33"
"71","4","0.00","0.00","0.00","0.00","2025-07-30 03:35:00","2025-07-30 03:35:00"
"72","1","0.00","0.00","0.00","0.00","2025-07-30 05:19:58","2025-07-30 05:19:58"
"73","57","5.00","0.00","0.00","0.00","2025-07-31 17:05:59","2025-08-02 06:56:07"
"74","58","133594.75","132000.00","0.00","0.00","2025-08-01 20:21:54","2026-07-12 18:38:39"
"75","59","24287.79","21500.00","0.00","0.00","2025-08-11 20:54:28","2026-03-02 19:06:21"
"76","60","0.00","0.00","0.00","0.00","2025-08-15 11:37:36","2025-08-15 11:37:36"
"77","8","0.00","0.00","0.00","0.00","2025-08-18 15:39:35","2025-08-18 15:39:35"
"78","7","0.00","0.00","0.00","0.00","2025-08-18 16:49:39","2025-08-18 16:49:39"
"79","61","70.20","0.00","0.00","0.00","2025-08-21 14:24:39","2025-08-22 11:45:44"
"80","62","11011.75","10852.00","0.00","0.00","2025-08-24 12:44:55","2026-03-01 15:46:10"
"81","63","21104.50","20556.00","0.00","0.00","2025-08-25 13:00:41","2026-07-12 20:19:59"
"82","65","0.00","0.00","0.00","0.00","2025-08-28 13:37:55","2025-08-28 13:37:55"
"83","64","0.00","0.00","0.00","0.00","2025-09-01 20:41:33","2025-09-01 20:41:33"
"84","66","0.00","0.00","0.00","0.00","2025-09-06 14:40:08","2025-09-06 14:40:08"
"85","67","0.00","0.00","0.00","0.00","2025-09-13 12:46:42","2025-09-13 12:46:42"
"86","68","1774.06","1774.00","0.00","0.00","2025-09-17 18:51:31","2026-03-07 19:48:55"
"87","69","346.75","199.00","0.00","0.00","2025-09-19 13:13:01","2025-10-02 18:07:07"
"88","70","18038.10","13376.00","0.00","0.00","2025-09-20 13:03:08","2026-07-10 17:24:13"
"89","71","173.70","170.00","0.00","0.00","2025-10-10 10:52:33","2025-10-26 22:05:02"
"90","72","41886.19","40650.00","0.00","0.00","2025-10-12 20:21:51","2026-06-30 13:55:20"
"91","73","0.00","0.00","0.00","0.00","2025-10-31 11:38:01","2025-10-31 11:38:01"
"92","75","254.15","254.15","0.00","0.00","2025-11-01 13:25:13","2025-12-16 14:23:03"
"93","76","85.00","85.00","0.00","0.00","2025-11-01 14:14:41","2025-12-18 17:32:16"
"94","77","124.80","124.80","0.00","0.00","2025-11-01 14:26:02","2025-12-16 13:10:53"
"95","78","0.00","0.00","0.00","0.00","2025-11-01 14:38:34","2025-11-01 14:38:34"
"96","79","448.80","448.80","0.00","0.00","2025-11-01 15:09:10","2025-12-16 12:59:23"
"97","80","306.00","306.00","0.00","0.00","2025-11-01 15:21:53","2025-12-16 14:29:17"
"98","81","0.00","0.00","0.00","0.00","2025-11-01 15:39:27","2025-11-01 15:39:27"
"99","82","0.00","0.00","0.00","0.00","2025-11-01 16:19:47","2025-11-01 16:19:47"
"100","74","0.00","0.00","0.00","0.00","2025-11-03 13:04:39","2025-11-03 13:04:39"
"101","83","157.50","0.00","0.00","0.00","2025-11-07 09:58:16","2025-12-06 17:55:05"
"102","84","663.00","0.00","663.00","0.00","2025-11-07 17:17:17","2025-12-16 13:24:05"
"103","85","0.00","0.00","0.00","0.00","2025-11-07 17:21:47","2025-11-07 17:21:47"
"104","86","20936.30","19700.00","0.00","0.00","2025-11-07 18:43:08","2026-07-12 13:18:02"
"105","87","193.80","193.80","0.00","0.00","2025-11-09 14:03:30","2025-12-18 17:36:06"
"106","88","908.65","908.65","0.00","0.00","2025-11-09 14:08:54","2025-12-16 14:23:16"
"107","89","51.00","51.00","0.00","0.00","2025-11-10 07:59:38","2025-12-18 17:34:12"
"108","90","0.00","0.00","0.00","0.00","2025-11-12 13:08:12","2025-11-12 13:08:12"
"109","91","0.00","0.00","0.00","0.00","2025-11-13 11:17:28","2025-11-13 11:17:28"
"110","92","1035.00","995.00","0.00","0.00","2025-11-17 16:08:11","2026-03-09 19:29:09"
"111","93","8818.75","7965.00","0.00","0.00","2025-11-19 06:10:40","2026-03-05 14:57:10"
"112","94","1411.00","1411.00","0.00","0.00","2025-11-21 14:27:09","2026-03-07 19:48:44"
"113","95","0.00","0.00","0.00","0.00","2025-12-01 15:27:54","2025-12-01 15:27:54"
"114","96","0.00","0.00","0.00","0.00","2025-12-01 16:11:33","2025-12-01 16:11:33"
"115","97","0.00","0.00","0.00","0.00","2025-12-01 16:53:39","2025-12-01 16:53:39"
"116","98","0.00","0.00","0.00","0.00","2025-12-05 17:44:27","2025-12-05 17:44:27"
"117","99","0.00","0.00","0.00","0.00","2025-12-11 11:20:11","2025-12-11 11:20:11"
"118","100","0.00","0.00","0.00","0.00","2025-12-11 14:04:00","2025-12-11 14:04:00"
"119","101","0.00","0.00","0.00","0.00","2025-12-13 17:38:08","2025-12-13 17:38:08"
"120","103","0.00","0.00","0.00","0.00","2025-12-24 16:11:21","2025-12-24 16:11:21"
"121","104","85.00","0.00","0.00","0.00","2025-12-30 13:42:57","2026-01-05 14:36:55"
"122","102","0.00","0.00","0.00","0.00","2025-12-31 16:37:12","2025-12-31 16:37:12"
"123","105","221.00","0.00","0.00","0.00","2026-01-01 16:52:07","2026-01-01 19:06:04"
"124","106","35479.80","31956.00","0.00","0.00","2026-02-01 13:33:22","2026-07-12 22:30:11"
"125","109","4106.45","3000.00","0.00","0.00","2026-06-14 12:14:43","2026-07-11 21:02:07"
"126","108","515.24","0.00","0.00","0.00","2026-06-14 12:15:35","2026-06-30 12:48:17"
"127","107","2774.75","0.00","0.00","0.00","2026-06-14 12:16:12","2026-07-04 20:55:20"
